0,00000
51,41115
72,43261
93,96035
112,00000
137,84127
159,78724
181,71120
203,67918
225,65816
247,61513
269,57208
291,56207
313,53006
335,50903
357,52103
379,47800
401,44595
423,40292
445,40390
467,40491
489,39490
511,38486
533,35287
555,36487
577,35486
599,37787
621,31287
643,33588
665,29285
687,29382
709,28375
731,27374
753,28577
775,26477
797,23279
819,25574
841,27875
863,24664
885,23669
907,25964
929,26068
951,23969
973,20770
995,21967
1017,24268
1039,23273
1061,23364
1083,23462
1127,14868
1149,21558
1171,22754
1193,20654
1215,20752
1237,20862
1259,19861
1281,15552
1303,16748
1325,16858
1347,18042
1369,14856
1391,16052
1413,15051
